	BayesTS	alpha	beta	prior_sigma	Y_mean	X_mean	Z_mean	gene_symbol
ENSG00000132702	0.3268420550175679	5.060561629157689	10.596887460228126	0.4959128537424442	34.03469	11.081632653061224	2.943820224719101	HAPLN2
ENSG00000109193	0.1196795587102148	2.4832777986605543	18.24519414209832	0.4831000116559606	4.444928	3.8979591836734695	2.640449438202247	SULT1E1
ENSG00000118162	0.7480954835313958	9.245716900409343	3.0721387974416885	0.501687349992341	10.997847	23.836734693877556	1.2696629213483146	KPTN
ENSG00000145782	0.7244184038407764	9.642114056787392	3.6986936076813217	0.4951444929073241	14.494441	24.448979591836736	1.4269662921348314	ATG12
ENSG00000159352	0.7137341806778591	9.867955030719864	3.982910179040031	0.4958259911053348	126.86885	25.0	1.8651685393258424	PSMD4
ENSG00000178607	0.6694675287368038	8.025386679325006	4.052497605279979	0.5006128017450652	9.936337	18.0	1.1348314606741574	ERN1
ENSG00000100890	0.7403759277634666	9.25420273191116	3.409014548463789	0.503105040485848	7.5823627	23.26530612244898	1.247191011235955	PRORP
ENSG00000115386	0.2842427722418844	4.793270745924561	11.711423174248749	0.4928786786692186	1663.449	11.408163265306122	2.808988764044944	REG1A
ENSG00000131697	0.4959212692846877	7.592512558549329	7.595981858987265	0.5045202230331999	7.3934603	20.816326530612244	2.831460674157303	NPHP4
ENSG00000181027	0.5507804767898996	8.230495350067748	6.682051446757673	0.50551480863552	10.151935	23.571428571428573	2.707865168539326	FKRP
ENSG00000077684	0.6312191070149351	8.953102652896298	5.056066139732253	0.4932852348932565	15.202018	23.448979591836736	1.8764044943820224	JADE1
ENSG00000198876	0.7005634379606632	9.185228507091242	3.962421446410235	0.5015097358161519	18.82748	24.428571428571427	1.6629213483146068	DCAF12
ENSG00000135002	0.7875634232768458	10.155354905229617	2.7460151702487487	0.5024900150065947	13.481338	23.918367346938776	0.8426966292134831	RFK
ENSG00000166900	0.6240562813674979	9.163047386570536	5.383679800038323	0.5017862269643402	15.9192	23.46938775510204	2.168539325842697	STX3
ENSG00000102034	0.5419664939419887	7.378476597570718	6.262021007752692	0.5077601224633159	12.119225	16.714285714285715	2.044943820224719	ELF4
ENSG00000117505	0.7333167321537585	9.4146786211355	3.3965763887736995	0.5071724498906803	10.169675	23.40816326530612	1.4157303370786516	DR1
ENSG00000127580	0.7185512647217259	9.558452196033462	3.7179274189425233	0.4950329824737076	12.906582	24.22448979591837	1.4719101123595506	WDR24
ENSG00000118898	0.5258628115767103	7.50870648845344	6.774792795311072	0.5041397159508224	67.51496	19.51020408163265	2.50561797752809	PPL
ENSG00000130035	0.2054568328395969	3.5904080233566047	13.930680837476745	0.4933141683541089	2.8013828	5.877551020408164	2.617977528089888	GALNT8
ENSG00000175581	0.6634032073295305	9.104805515592725	4.547723292486458	0.503406460533796	8.325408	23.918367346938776	1.820224719101124	MRPL48
ENSG00000196218	0.2222288769752523	3.9283556540122606	13.27304571289132	0.499518638602022	11.65257	7.918367346938775	2.9101123595505616	RYR1
ENSG00000103199	0.6415401002262168	8.354458226275842	4.840414399687352	0.4839327796245712	6.95812	20.06122448979592	1.5730337078651686	ZNF500
ENSG00000110315	0.7978416428470895	10.320867555481916	2.504051477991398	0.5060178932858345	26.55151	24.755102040816325	1.0449438202247192	RNF141
ENSG00000175175	0.1708556963170237	3.025768909396772	14.935379094388654	0.4994484353467449	2.51895	5.061224489795919	2.617977528089888	PPM1E
ENSG00000099290	0.7790628512407132	10.311324654665396	3.024623999047381	0.5140069774614021	20.30777	24.73469387755102	1.2696629213483146	WASHC2A
ENSG00000117682	0.6676163314886667	8.99217822414036	4.619710508987971	0.5087429700070876	19.058388	24.20408163265306	1.797752808988764	DHDDS
ENSG00000103005	0.6268920932079772	8.871974730229716	5.278680538223849	0.5006572355086276	17.147425	24.714285714285715	2.3258426966292136	USB1
ENSG00000134198	0.3921451077949868	5.834877953032013	9.179596353594642	0.5047756845853462	12.917773	12.183673469387756	2.50561797752809	TSPAN2
ENSG00000154914	0.3320830085624762	5.254535837903617	10.269554436657163	0.4996829712934352	2.6308033	7.673469387755102	1.550561797752809	USP43
ENSG00000143178	0.3330425685045858	5.307381619676618	10.474804724466049	0.5012439465275317	7.3276954	12.877551020408164	2.966292134831461	TBX19
ENSG00000114956	0.6839391217104058	9.732108807845544	4.583346425940624	0.4900381061316265	39.490833	25.0	1.820224719101124	DGUOK
ENSG00000198270	0.5472758869456464	7.519768980209269	6.287216071097998	0.5161944564408477	4.787921	16.26530612244898	1.7303370786516854	TMEM116
ENSG00000120533	0.7294185200191771	9.723007778802712	3.6170822413588906	0.5108251319535597	27.296642	24.857142857142858	1.3932584269662922	ENY2
ENSG00000211966	0.1794750875752202	3.3830663094552285	15.192068901085472	0.5063483651788875	38.48315	7.591836734693878	3.0	IGHV5-51
ENSG00000116191	0.4346831885707738	6.5977562246090535	8.614324425978321	0.4968673324168864	8.104845	17.26530612244898	2.550561797752809	RALGPS2
ENSG00000166025	0.542965171202222	8.077468956578901	6.876734925108269	0.4950376002528339	21.305964	23.081632653061224	2.752808988764045	AMOTL1
ENSG00000162585	0.609708439943382	8.675755791025521	5.639711354640601	0.4994498921101382	10.41889	23.897959183673468	2.247191011235955	FAAP20
ENSG00000256683	0.5316444938089544	7.672984165654224	6.702465274811905	0.5153104471646653	6.9587774	20.836734693877556	2.213483146067416	ZNF350
ENSG00000198858	0.701419310407605	9.518382826342515	4.057668110600479	0.5031063719778243	70.928185	25.0	1.8764044943820224	R3HDM4
ENSG00000116852	0.4780871918508235	6.319213855097875	6.8883015868637525	0.4884328803455539	6.869718	10.63265306122449	1.348314606741573	KIF21B
ENSG00000120341	0.3941984462587146	6.104911541009763	9.29502149190778	0.4934324044740347	5.741638	15.714285714285714	2.898876404494382	SEC16B
ENSG00000101074	0.0140875682791448	0.4585368288792098	30.832589296071024	0.4978850670220497	0.05357508	0.0204081632653061	2.898876404494382	R3HDML
ENSG00000106366	0.4845215045183507	7.229073938598411	7.747079724415447	0.5013322740485642	115.84156	19.142857142857142	3.0	SERPINE1
ENSG00000141425	0.8059193921967168	10.679227319475212	2.6246168032358974	0.4973954961008463	20.99574	24.693877551020407	0.797752808988764	RPRD1A
ENSG00000132746	0.1051171818147069	2.2364372599321785	19.04772946364754	0.497253633264146	14.288265	3.4693877551020407	2.797752808988764	ALDH3B2
ENSG00000149792	0.7334823955269559	10.504871954927408	3.745273855894496	0.5012365667429377	50.185978	25.0	1.6179775280898876	MRPL49
ENSG00000171495	0.0228258835074949	0.6308964114490864	27.93801101384712	0.5029123533667884	1.1939305	0.4897959183673469	2.9101123595505616	MROH2B
ENSG00000188694	0.0122035327084011	0.3800008646797052	28.554054050790317	0.5101822941319171	0.15413024	0.1020408163265306	2.966292134831461	KRTAP24-1
ENSG00000221914	0.7175944386201466	9.878458347707332	3.8434134977200514	0.5137466433689087	22.439856	24.897959183673468	1.5617977528089888	PPP2R2A
ENSG00000114270	0.4861258317914737	7.227321752966555	7.61566482026235	0.4951159043620625	25.529531	19.6530612244898	2.8876404494382024	COL7A1
ENSG00000116954	0.8364813914808613	10.70272080150712	2.183591702022841	0.5165996741517075	28.16647	24.93877551020408	0.9213483146067416	RRAGC
ENSG00000067798	0.2855349471557737	4.711824857302401	11.904767098973792	0.4991438365472719	3.4869237	9.73469387755102	2.808988764044944	NAV3
ENSG00000177694	0.0785239269631455	1.911452966809981	22.33919254298036	0.4947242451965168	1.0260551	1.5510204081632653	2.5842696629213484	NAALADL2
ENSG00000198203	0.1042891964693266	2.2185985148056404	19.59936702215953	0.496089263910055	4.8141413	3.346938775510204	2.8876404494382024	SULT1C2
ENSG00000185453	0.5466028294319587	7.937448640956447	6.700218780549981	0.5143531468538345	10.07496	22.693877551020407	2.842696629213483	ZSWIM9
ENSG00000119574	0.7581111042938622	9.745550533088473	3.102264608974323	0.4924122788359014	10.061906	23.53061224489796	1.1348314606741574	ZBTB45
ENSG00000127483	0.7474887438868275	10.358579298376393	3.562085279349249	0.5106858243216024	74.63682	25.0	1.7191011235955056	HP1BP3
ENSG00000100664	0.774330098272129	10.807613858797888	3.135621665374983	0.5057925735306865	61.610615	25.0	1.2808988764044944	EIF5
ENSG00000167641	0.6462409514300246	9.384503426271856	5.2046167069343365	0.4912901297329817	126.402054	24.244897959183675	2.415730337078652	PPP1R14A
ENSG00000101003	0.1728388052808925	3.2501503388463067	15.439188565251344	0.5005995101406939	1.6823448	2.7346938775510203	2.0	GINS1
ENSG00000123064	0.6076185282173495	9.104779254973298	6.0403956159516285	0.5041286835201918	25.009785	24.693877551020407	2.617977528089888	DDX54
ENSG00000137409	0.879815795231681	13.037541082067944	1.7820018873107708	0.502356690234733	198.6995	25.0	0.6741573033707865	MTCH1
ENSG00000014138	0.6446671579051748	8.676556748349592	4.78036309936096	0.498999288029106	6.859491	19.6734693877551	1.5056179775280898	POLA2
ENSG00000196704	0.6420598895953872	9.205861344989362	5.125159108515266	0.4942611344460044	40.07137	24.959183673469383	2.1235955056179776	AMZ2
ENSG00000008441	0.7067187480316335	10.18160113510415	4.280636183670128	0.5007016880035546	63.274334	24.857142857142858	1.7865168539325842	NFIX
ENSG00000112339	0.8083188752720099	10.461940503177452	2.5167077303751904	0.5098679232884443	8.460168	23.59183673469388	0.8876404494382022	HBS1L
ENSG00000170471	0.6749422379087706	9.309848001191424	4.458075927394139	0.494829310449288	17.44886	24.387755102040817	1.8764044943820224	RALGAPB
ENSG00000171530	0.8927869512018344	11.863209633299007	1.3524751877460262	0.4890966568582397	45.043415	24.97959183673469	0.8539325842696629	TBCA
ENSG00000137269	0.5511175111566295	7.589598615702017	6.017539377108672	0.4938658475817667	10.029373	18.918367346938776	1.98876404494382	LRRC1
ENSG00000162595	0.4935419266968758	7.043501738617034	7.304233202075858	0.4951311975812964	15.693502	15.959183673469388	1.98876404494382	DIRAS3
