	0
0	adipose tissue
1	adrenal gland
2	appendix
3	bone marrow
4	breast
5	bronchus
6	caudate
7	cerebellum
8	cerebral cortex
9	cervix
10	colon
11	duodenum
12	endometrium 1
13	endometrium 2
14	epididymis
15	esophagus
16	fallopian tube
17	gallbladder
18	heart muscle
19	hippocampus
20	kidney
21	liver
22	lung
23	lymph node
24	nasopharynx
25	oral mucosa
26	ovary
27	pancreas
28	parathyroid gland
29	placenta
30	prostate
31	rectum
32	salivary gland
33	seminal vesicle
34	skeletal muscle
35	skin 1
36	skin 2
37	small intestine
38	smooth muscle
39	soft tissue 1
40	soft tissue 2
41	spleen
42	stomach 1
43	stomach 2
44	testis
45	thyroid gland
46	tonsil
47	urinary bladder
48	vagina
49	hypothalamus
50	endometrium
51	hair
52	retina
53	lactating breast
54	skin
55	thymus
56	cartilage
57	eye
58	pituitary gland
59	choroid plexus
60	dorsal raphe
61	substantia nigra
62	sole of foot
