symbol	ensg	source
NANOG	ENSG00000111704	NBT
CEACAM8	ENSG00000124469	NBT
TSPAN16	ENSG00000130167	NBT
SLC13A5	ENSG00000141485	NBT
GLRB	ENSG00000109738	NBT
DYRK4	ENSG00000010219	NBT
KCNN4	ENSG00000104783	NBT
SV2C	ENSG00000122012	NBT
SIGLEC8	ENSG00000105366	NBT
RBMXL3	ENSG00000175718	NBT
HIST1H1T	ENSG00000187475	NBT
CCR8	ENSG00000179934	NBT
CCNB3	ENSG00000147082	NBT
ALPPL2	ENSG00000163286	NBT
ZP2	ENSG00000103310	NBT
OTUB2	ENSG00000089723	NBT
LILRA4	ENSG00000239961	NBT
GRM2	ENSG00000164082	NBT
PSG1	ENSG00000231924	NBT
NBPF3	ENSG00000142794	NBT
GYPA	ENSG00000170180	NBT
ALPP	ENSG00000163283	NBT
SPATA19	ENSG00000166118	NBT
SLC6A11	ENSG00000132164	NBT
SLC34A1	ENSG00000131183	NBT
SLC2A14	ENSG00000173262	NBT
SLC22A12	ENSG00000197891	NBT
RBMXL2	ENSG00000170748	NBT
KLK3	ENSG00000142515	NBT
KLK2	ENSG00000167751	NBT
FCRL1	ENSG00000163534	NBT
CACNG3	ENSG00000006116	NBT
UPK3B	ENSG00000243566	NBT
FCRLA	ENSG00000132185	NBT
DCLK2	ENSG00000170390	NBT
IZUMO4	ENSG00000099840	NBT
MUC12	ENSG00000205277	NBT
HEPACAM	ENSG00000165478	NBT
BPI	ENSG00000101425	NBT
ATP6V0A4	ENSG00000105929	NBT
HMMR	ENSG00000072571	NBT
SLC45A3	ENSG00000158715	NBT
SLC4A1	ENSG00000004939	NBT
UPK1A	ENSG00000105668	NBT
CD79B	ENSG00000007312	NBT
CD27	ENSG00000139193	NBT
ADGRV1	ENSG00000164199	NBT
HERC5	ENSG00000138646	NBT
CD37	ENSG00000104894	NBT
CD2	ENSG00000116824	NBT
C3AR1	ENSG00000171860	NBT
SLC7A3	ENSG00000165349	NBT
FASLG	ENSG00000117560	NBT
NGB	ENSG00000165553	NBT
CELSR3	ENSG00000008300	NBT
CD3G	ENSG00000160654	NBT
CEACAM3	ENSG00000170956	NBT
TNFRSF13C	ENSG00000159958	NBT
CD72	ENSG00000137101	NBT
SLC46A2	ENSG00000119457	NBT
MS4A8	ENSG00000166959	NBT
CD79A	ENSG00000105369	NBT
CD3D	ENSG00000167286	NBT
CCR2	ENSG00000121807	NBT
CD83	ENSG00000112149	NBT
MAGEA1	ENSG00000198681	CTdb
MAGEA2B	ENSG00000183305	CTdb
MAGEA2	ENSG00000268606	CTdb
MAGEA6	ENSG00000197172	CTdb
MAGEA3	ENSG00000221867	CTdb
MAGEA4	ENSG00000147381	CTdb
MAGEA6	ENSG00000197172	CTdb
MAGEA3	ENSG00000221867	CTdb
MAGEA8	ENSG00000156009	CTdb
MAGEA9	ENSG00000123584	CTdb
MAGEA9B	ENSG00000267978	CTdb
MAGEA10	ENSG00000124260	CTdb
MAGEA11	ENSG00000185247	CTdb
MAGEA12	ENSG00000213401	CTdb
BAGE2	ENSG00000187172	CTdb
MAGEB1	ENSG00000214107	CTdb
MAGEB2	ENSG00000099399	CTdb
MAGEB5	ENSG00000188408	CTdb
MAGEB6	ENSG00000176746	CTdb
MAGEB3	ENSG00000198798	CTdb
MAGEB4	ENSG00000120289	CTdb
GAGE1	ENSG00000205777	CTdb
GAGE2A	ENSG00000189064	CTdb
GAGE12G	ENSG00000215269	CTdb
GAGE12F	ENSG00000236362	CTdb
GAGE12G	ENSG00000215269	CTdb
GAGE12F	ENSG00000236362	CTdb
GAGE12G	ENSG00000215269	CTdb
GAGE12F	ENSG00000236362	CTdb
GAGE2A	ENSG00000189064	CTdb
SSX1	ENSG00000126752	CTdb
SSX2	ENSG00000241476	CTdb
SSX2B	ENSG00000268447	CTdb
SSX2B	ENSG00000268447	CTdb
SSX3	ENSG00000165584	CTdb
SSX4	ENSG00000268009	CTdb
SSX4B	ENSG00000269791	CTdb
CTAG1B	ENSG00000184033	CTdb
CTAG2	ENSG00000126890	CTdb
MAGEC1	ENSG00000155495	CTdb
MAGEC3	ENSG00000165509	CTdb
SYCP1	ENSG00000198765	CTdb
BRDT	ENSG00000137948	CTdb
MAGEC2	ENSG00000046774	CTdb
SPANXA1	ENSG00000198021	CTdb
SPANXA2	ENSG00000203926	CTdb
SPANXB1	ENSG00000227234	CTdb
SPANXC	ENSG00000198573	CTdb
SPANXD	ENSG00000196406	CTdb
SPANXN1	ENSG00000203923	CTdb
SPANXN2	ENSG00000268988	CTdb
SPANXN3	ENSG00000189252	CTdb
SPANXN4	ENSG00000189326	CTdb
SPANXN5	ENSG00000204363	CTdb
XAGE1B	ENSG00000204382	CTdb
XAGE2	ENSG00000155622	CTdb
XAGE3	ENSG00000171402	CTdb
XAGE5	ENSG00000171405	CTdb
DDX43	ENSG00000080007	CTdb
SAGE1	ENSG00000181433	CTdb
ADAM2	ENSG00000104755	CTdb
PAGE5	ENSG00000158639	CTdb
PAGE1	ENSG00000068985	CTdb
PAGE2	ENSG00000234068	CTdb
PAGE2B	ENSG00000238269	CTdb
PAGE3	ENSG00000204279	CTdb
PAGE4	ENSG00000101951	CTdb
LIPI	ENSG00000188992	CTdb
VENTXP1	ENSG00000259849	CTdb
VENTXP1	ENSG00000293226	CTdb
IL13RA2	ENSG00000123496	CTdb
PRSS50	ENSG00000283706	CTdb
CTAGE1	ENSG00000212710	CTdb
SPA17	ENSG00000064199	CTdb
ACRBP	ENSG00000111644	CTdb
CSAG1	ENSG00000198930	CTdb
CSAG2	ENSG00000268902	CTdb
CSAG3	ENSG00000268916	CTdb
DSCR8	ENSG00000198054	CTdb
DDX53	ENSG00000184735	CTdb
CTCFL	ENSG00000124092	CTdb
LUZP4	ENSG00000102021	CTdb
TFDP3	ENSG00000183434	CTdb
LDHC	ENSG00000166796	CTdb
MORC1	ENSG00000114487	CTdb
DKKL1	ENSG00000104901	CTdb
SPO11	ENSG00000054796	CTdb
CRISP2	ENSG00000124490	CTdb
FMR1NB	ENSG00000176988	CTdb
FTHL17	ENSG00000132446	CTdb
NXF2	ENSG00000269405	CTdb
NXF2B	ENSG00000269437	CTdb
TAF7L	ENSG00000102387	CTdb
TDRD1	ENSG00000095627	CTdb
TDRD6	ENSG00000180113	CTdb
TEX15	ENSG00000133863	CTdb
FATE1	ENSG00000147378	CTdb
TPTE	ENSG00000274391	CTdb
CT45A1	ENSG00000268940	CTdb
CT45A3	ENSG00000269096	CTdb
CT45A2	ENSG00000271449	CTdb
CT45A3	ENSG00000269096	CTdb
CT45A5	ENSG00000228836	CTdb
CT45A6	ENSG00000278289	CTdb
HORMAD1	ENSG00000143452	CTdb
HORMAD2	ENSG00000176635	CTdb
CT47A10	ENSG00000224089	CTdb
CT47A6	ENSG00000226023	CTdb
CT47A9	ENSG00000226600	CTdb
CT47A12	ENSG00000226685	CTdb
CT47A11	ENSG00000226929	CTdb
CT47A7	ENSG00000228517	CTdb
CT47A8	ENSG00000230347	CTdb
CT47A4	ENSG00000230594	CTdb
CT47A3	ENSG00000236126	CTdb
CT47A1	ENSG00000236371	CTdb
CT47A5	ENSG00000237957	CTdb
CT47A2	ENSG00000242362	CTdb
CT47A2	ENSG00000242362	CTdb
CT47A3	ENSG00000236126	CTdb
CT47A4	ENSG00000230594	CTdb
CT47A5	ENSG00000237957	CTdb
CT47A6	ENSG00000226023	CTdb
CT47A7	ENSG00000228517	CTdb
CT47A8	ENSG00000230347	CTdb
CT47A9	ENSG00000226600	CTdb
CT47A10	ENSG00000224089	CTdb
CT47A6	ENSG00000226023	CTdb
CT47A11	ENSG00000226929	CTdb
CT47B1	ENSG00000236446	CTdb
SLCO6A1	ENSG00000205359	CTdb
LEMD1	ENSG00000186007	CTdb
HSPB9	ENSG00000260325	CTdb
CCDC110	ENSG00000168491	CTdb
ZNF165	ENSG00000197279	CTdb
SPACA3	ENSG00000141316	CTdb
SPMAP2	ENSG00000105549	CTdb
ACTL8	ENSG00000117148	CTdb
NLRP4	ENSG00000160505	CTdb
COX6B2	ENSG00000160471	CTdb
CCDC33	ENSG00000140481	CTdb
PASD1	ENSG00000166049	CTdb
TULP2	ENSG00000104804	CTdb
CT66	ENSG00000234215	CTdb
PRSS54	ENSG00000103023	CTdb
RBM46	ENSG00000151962	CTdb
CT69	ENSG00000231971	CTdb
CT70	ENSG00000230013	CTdb
EPPIN	ENSG00000101448	CTdb
TSSK6	ENSG00000178093	CTdb
ADAM29	ENSG00000168594	CTdb
SYCE1	ENSG00000171772	CTdb
CPXCR1	ENSG00000147183	CTdb
TSPY3	ENSG00000228927	CTdb
TSPY10	ENSG00000236424	CTdb
TSPY1	ENSG00000258992	CTdb
TSGA10	ENSG00000135951	CTdb
PIWIL2	ENSG00000197181	CTdb
ARMC3	ENSG00000165309	CTdb
AKAP3	ENSG00000111254	CTdb
PBK	ENSG00000168078	CTdb
OIP5	ENSG00000104147	CTdb
CEP290	ENSG00000198707	CTdb
CABYR	ENSG00000154040	CTdb
SPAG9	ENSG00000008294	CTdb
ROPN1	ENSG00000065371	CTdb
PLAC1	ENSG00000170965	CTdb
CALR3	ENSG00000269058	CTdb
PRM1	ENSG00000175646	CTdb
PRM2	ENSG00000122304	CTdb
CAGE1	ENSG00000164304	CTdb
TTK	ENSG00000112742	CTdb
LY6K	ENSG00000160886	CTdb
AKAP4	ENSG00000147081	CTdb
DPPA2	ENSG00000163530	CTdb
DCAF12	ENSG00000198876	CTdb
SEMG1	ENSG00000124233	CTdb
POTED	ENSG00000166351	CTdb
POTEE	ENSG00000188219	CTdb
POTEA	ENSG00000188877	CTdb
POTEG	ENSG00000187537	CTdb
POTEB2	ENSG00000230031	CTdb
POTEB	ENSG00000233917	CTdb
POTEB3	ENSG00000278522	CTdb
POTEC	ENSG00000183206	CTdb
POTEH	ENSG00000198062	CTdb
