	mean_sigma	alpha	beta	prior_sigma	Y_mean	X_mean	symbols
ENSG00000000003	0.7967894227861273	7.6283921839742845	2.0016784766031352	0.3203229846507434	42.840942	24.952380952380956	TSPAN6
ENSG00000000005	0.1936058104475871	3.652010124230026	15.484281260173663	0.2028319334808243	2.6845257	19.65079365079365	TNMD
ENSG00000000419	0.8242179448724914	8.00716942468105	1.712372485097815	0.3567561320336698	56.38656	24.984126984126984	DPM1
ENSG00000000457	0.7891923033059608	8.176658771900051	2.2103894964331947	0.2712416851440413	13.585723	25.0	SCYL3
ENSG00000000460	0.7739851567950966	7.892315986469691	2.2929733080483787	0.2755127269011297	9.8678665	24.984126984126984	FIRRM
ENSG00000000938	0.7960631759501114	7.925877157546833	2.138232063194044	0.2978925859879558	42.21121	25.0	FGR
ENSG00000000971	0.85025446264511	7.915973020428406	1.4105148059145385	0.4413189909098766	294.53897	25.0	CFH
ENSG00000001036	0.8095229916339475	7.742958816114886	1.8103468376542744	0.3404885637990802	40.36499	25.0	FUCA2
ENSG00000001084	0.8216103219966943	7.918693547513612	1.7694811896725573	0.3397888688164753	46.415092	25.0	GCLC
ENSG00000001167	0.773592120965182	7.648325022223776	2.173220732554955	0.2784571800976457	12.69774	25.0	NFYA
ENSG00000001460	0.7319675409442263	7.643689542355782	2.807852264924842	0.2660133790066236	7.360226	24.96825396825397	STPG1
ENSG00000001461	0.7804675526951628	7.722462725242123	2.180558778525164	0.2967793617760181	19.39386	25.0	NIPAL3
ENSG00000001497	0.8221871534656502	8.35069439689473	1.7526940132132247	0.3428422266495546	51.55538	24.984126984126984	LAS1L
ENSG00000001561	0.639153081468763	7.468481870032725	4.30382242915968	0.2436900263734815	3.0044827	24.84126984126984	ENPP4
ENSG00000001617	0.8113921318350615	7.779808916729533	1.8388378266333565	0.3387793753197033	83.29554	25.0	SEMA3F
ENSG00000001626	0.3431353330969864	5.3211663602920085	10.050762881250808	0.2214944437860337	10.681572	20.88888888888889	CFTR
ENSG00000001629	0.7944644809947056	7.907180076684112	1.9961331415787895	0.3127453688735484	23.883009	25.0	ANKIB1
ENSG00000001630	0.6347147611989968	7.57887405787381	4.334339361034773	0.2154768590854755	2.842252	24.936507936507937	CYP51A1
ENSG00000001631	0.7950627539815499	7.313986105017103	1.807072577670143	0.3568858420711097	46.40527	25.0	KRIT1
ENSG00000002016	0.7622103065158665	7.621732578925741	2.2388783206362888	0.2549999218737389	12.58978	25.0	RAD52
ENSG00000002079	0.0229407273232033	0.7558559219680611	31.23538544293492	0.1929178952442956	0.11934683	11.587301587301589	MYH16
ENSG00000002330	0.8237919998502476	8.266512645987172	1.7701317211364525	0.328568764888616	37.555912	25.0	BAD
ENSG00000002549	0.8535668302400469	8.031782583698789	1.3560815812640628	0.4142341327206967	137.84116	25.0	LAP3
ENSG00000002586	0.8880842434101112	8.568372397461998	1.074929499463142	0.5080873215733118	454.97226	24.984126984126984	CD99
ENSG00000002587	0.2696158936598736	4.5957521306556215	12.289100045812278	0.2161846796647654	0.8194553	23.476190476190474	HS3ST1
ENSG00000002726	0.2293955577548534	3.934030455064301	13.542403174309344	0.2176737341161574	19.918827	16.158730158730158	AOC1
ENSG00000002745	0.0451139101872856	1.2565182796296286	26.798114719623776	0.1798696828037268	0.32134143	9.142857142857142	WNT16
ENSG00000002746	0.3613097832418106	5.397066790927371	9.32333213063538	0.2133151691621826	3.9701269	22.92063492063492	HECW1
ENSG00000002822	0.8144348730569564	8.052824894950103	1.842925927931777	0.3387600378863331	33.1279	25.0	MAD1L1
ENSG00000002834	0.8128344698402757	7.710560102348137	1.6926157342887616	0.3375588149737958	57.940186	24.984126984126984	LASP1
ENSG00000002919	0.7694594854889759	7.689228147119087	2.273654968141693	0.2695101012969016	11.618435	24.984126984126984	SNX11
ENSG00000002933	0.8300763435834037	7.883140723471868	1.6394418757951188	0.3736623454857526	126.81384	25.0	TMEM176A
ENSG00000003056	0.8153678499685508	8.373278025332107	1.830730755187312	0.366437634619346	53.9936	25.0	M6PR
ENSG00000003096	0.6284988583409788	7.448023639863086	4.449211809548808	0.2186503947913247	3.9696221	24.666666666666668	KLHL13
ENSG00000003137	0.5679386397139704	7.1253026469935685	5.324047946739732	0.2333010203114308	5.3675356	24.41269841269841	CYP26B1
ENSG00000003147	0.8015843794184558	8.020218080994756	2.014148504222494	0.3152972978134677	31.868662	25.0	ICA1
ENSG00000003249	0.5348922736847836	6.992611779706842	6.020420427970367	0.2275571068589589	2.9736345	24.73015873015873	DBNDD1
ENSG00000003393	0.8003656515065064	8.087493856035161	1.9539031926557184	0.3043155940463272	32.87057	25.0	ALS2
ENSG00000003400	0.7138526860335205	7.704592015883703	3.0743646890661216	0.2506313097648305	6.101912	24.96825396825397	CASP10
