	mean_sigma	alpha	beta	prior_sigma	Y_mean	X_mean	Z_mean	gene
ENSG00000176396	0.15161962	2.823165455	15.49470027	0.51238978	0.011557057	2.650793651	1.449438202	EID2
ENSG00000283632	0.372003159	5.482507522	9.063387838	0.502068742	9.926038	23.6984127	2.168539326	EXOC3L2
ENSG00000169064	0.125572005	2.398257941	16.667905	0.498139767	3.0536692	14.19047619	2.786516854	ZBBX
ENSG00000124333	0.675282845	8.079551193	3.930165335	0.486259598	16.577806	24.96825397	0.93258427	VAMP7
ENSG00000144843	0.284551195	4.509831939	11.41422015	0.499412994	2.0935445	24.6031746	2.258426966	ADPRH
ENSG00000137815	0.721501145	8.888309694	3.51483935	0.506633749	57.559505	25	0.696629213	RTF1
ENSG00000107779	0.487908946	6.526727022	7.068322719	0.511437424	24.300163	24.98412698	1.921348315	BMPR1A
ENSG00000140859	0.393171327	5.70616416	8.878695691	0.506340459	116.51612	25	2.629213483	KIFC3
ENSG00000188215	0.42221903	5.859569593	7.903041943	0.494793675	1.3682071	24.74603175	1.764044944	DCUN1D3
ENSG00000116406	0.553307341	7.2491349	5.859263152	0.497487407	23.662468	24.96825397	1.550561798	EDEM3
ENSG00000112619	0.160381933	3.00384493	15.52077422	0.515648138	0.31954312	20.6984127	2.966292135	PRPH2
ENSG00000116039	0.316251162	4.738080925	10.28591115	0.51328164	29.22077	24.15873016	2.584269663	ATP6V1B1
ENSG00000175606	0.552879364	7.157529699	5.654684646	0.494721015	10.312731	24.98412698	1.449438202	TMEM70
ENSG00000072110	0.780916454	10.55158506	3.025549866	0.499603592	485.71747	25	0.820224719	ACTN1
ENSG00000154380	0.580811165	7.647973413	5.53427897	0.50995322	42.731026	24.96825397	1.382022472	ENAH
ENSG00000133056	0.46273386	6.55008625	7.723191503	0.51944078	49.135643	25	2.157303371	PIK3C2B
ENSG00000111664	0.373911433	5.41511668	8.859709029	0.498463926	6.6083817	24.63492063	2.04494382	GNB3
ENSG00000115239	0.534970816	6.948580802	5.799635526	0.495356267	1.1974843	24.95238095	0.966292135	ASB3
ENSG00000118523	0.509593244	7.264180912	7.1453817	0.508305102	214.53316	24.98412698	2.224719101	CTGF
ENSG00000078401	0.305133589	4.706065279	10.85858972	0.507962597	11.977988	25	2.91011236	EDN1
ENSG00000183044	0.451806134	6.359517705	7.646813408	0.504686723	36.564445	25	1.988764045	ABAT
ENSG00000176971	0.095405425	2.031998811	19.34526824	0.507351313	0.003624291	0.333333333	1.764044944	FIBIN
ENSG00000198865	0.417836052	5.802085911	8.115792108	0.503611177	1.1940489	23.95238095	1.662921348	CCDC152
ENSG00000160182	0.159252575	2.836498358	14.74489887	0.493759797	27.287521	15.26984127	2.606741573	TFF1
ENSG00000169403	0.260058525	4.016773019	11.33860602	0.488852018	0.44618517	18.80952381	2.06741573	PTAFR
ENSG00000240771	0.488134281	6.823875997	7.195159165	0.502421335	128.44872	25	2.02247191	ARHGEF25
ENSG00000162944	0.295743124	4.552968701	10.78013716	0.511055811	5.19139	24.61904762	2.662921348	RFTN2
ENSG00000125319	0.472319578	6.309566357	6.969443608	0.492130138	1.5526897	24.49206349	1.505617978	C17orf53
ENSG00000070190	0.366634464	5.281065415	9.097614687	0.488290335	3.7932	22.6031746	1.921348315	DAPP1
ENSG00000130749	0.555831293	7.194448102	5.714586242	0.499709277	14.326952	24.98412698	1.426966292	ZC3H4
ENSG00000023734	0.707229863	9.201875752	3.719712066	0.503754107	117.04132	25	1.04494382	STRAP
ENSG00000100294	0.51213166	6.894901519	6.55851635	0.498796248	7.5235147	24.98412698	1.471910112	MCAT
ENSG00000126773	0.685420366	8.055127856	3.737310606	0.495600376	17.600128	25	0.685393258	PCNX4
ENSG00000133657	0.47014888	6.764641108	7.319760736	0.502420624	52.545673	25	2.134831461	ATP13A3
ENSG00000144406	0.180945526	3.023582657	13.9630565	0.510864725	6.0048046	19.85714286	2.853932584	UNC80
ENSG00000204560	0.79832875	9.344038428	2.33074115	0.501080498	78.4221	25	0.471910112	DHX16
ENSG00000168811	0.19985164	3.454484078	13.74495821	0.494725372	1.0498476	23.01587302	3	IL12A
ENSG00000134982	0.432333931	6.23296452	7.955686416	0.505544258	5.1920333	24.93650794	1.831460674	APC
ENSG00000165072	0.479535873	6.751330719	7.345488651	0.49839692	39.51729	24.79365079	1.921348315	MAMDC2
ENSG00000140691	0.554452237	7.277295952	5.837668838	0.507973076	9.761832	25	1.404494382	ARMC5
ENSG00000166535	0.275204469	4.127608437	11.00881882	0.496507205	102.36288	22.79365079	2.584269663	A2ML1
ENSG00000158987	0.454814019	6.080070569	7.32466882	0.50205469	0.6800223	24.01587302	1.258426966	RAPGEF6
ENSG00000112742	0.370223738	5.332195922	9.069841943	0.492410503	3.118384	24.0952381	1.898876404	TTK
ENSG00000197283	0.366675278	5.551716475	9.47128908	0.479058312	33.45053	25	2.606741573	SYNGAP1
ENSG00000164744	0.072364741	1.612061352	20.57857339	0.496134774	0.63681793	11.06349206	2.921348315	SUN3
ENSG00000248333	0.804473122	9.894067466	2.320622738	0.504689932	224.94762	25	0.696629213	CDK11B
ENSG00000141232	0.436499342	6.258153515	8.119427272	0.489642243	4.0138884	24.95238095	1.887640449	TOB1
ENSG00000144118	0.343337048	5.304919096	10.18971754	0.499497295	22.465908	25	2.808988764	RALB
ENSG00000178409	0.312106857	4.660582431	9.929234491	0.502504327	0.19248433	18.36507937	1.573033708	BEND3
ENSG00000006453	0.511134725	6.901569619	6.655313166	0.507024002	32.233555	25	1.539325843	BAIAP2L1
ENSG00000108506	0.311606158	4.752748995	10.63005537	0.509987067	9.167505	24.96825397	2.797752809	INTS2
ENSG00000182117	0.507580809	6.9279569	6.575986749	0.497638884	16.936323	25	1.876404494	NOP10
ENSG00000171763	0.397527515	5.732657959	8.821411315	0.500664035	10.124468	25	2.134831461	SPATA5L1
ENSG00000060558	0.335895756	5.030127194	9.539930998	0.484763658	13.180442	24.92063492	2.348314607	GNA15
ENSG00000113621	0.447670312	6.281867813	7.769641346	0.498124009	26.059046	25	2.123595506	TXNDC15
ENSG00000122304	0.104558359	2.10748621	18.1291553	0.500975313	19.418976	14.41269841	2.966292135	PRM2
ENSG00000163320	0.723191801	8.040341905	2.955192261	0.500121242	8.763612	25	0.382022472	CGGBP1
ENSG00000101298	0.323065568	4.857056494	10.37935553	0.50682266	3.1871939	24.44444444	2.337078652	SNPH
ENSG00000135517	0.060998167	1.437542463	22.49277917	0.491096222	0.068119876	8.365079365	2.966292135	MIP
ENSG00000146950	0.440207821	5.96921001	7.740685035	0.504336463	2.2378228	24.44444444	1.752808989	SHROOM2
ENSG00000086061	0.68517045	8.880345162	4.204020983	0.507636075	129.59467	25	1.134831461	DNAJA1
ENSG00000121691	0.416108887	6.033328304	8.747187252	0.494834356	218.45905	25	2.775280899	CAT
ENSG00000105221	0.657565142	8.793391908	4.706396854	0.500701128	148.53894	24.98412698	1.258426966	AKT2
ENSG00000181019	0.426893211	6.256864796	8.411096347	0.498834567	48.292046	25	2.292134831	NQO1
ENSG00000158516	0.1943145	3.140531818	13.36250304	0.50277131	74.54135	21.61904762	2.966292135	CPA2
ENSG00000185988	0.207903681	3.488952499	13.33809823	0.497350042	3.5836382	20.79365079	2.808988764	PLK5
ENSG00000170469	0.260495898	4.213729129	11.98714835	0.501928668	4.104936	24.98412698	2.966292135	SPATA24
ENSG00000034053	0.550379865	7.113970223	5.742714574	0.498700601	19.664785	24.93650794	1.134831461	APBA2
ENSG00000172893	0.67494991	8.62911843	4.195619106	0.501626834	50.134968	25	0.91011236	DHCR7
ENSG00000188994	0.48322482	6.542053407	6.909144297	0.495990101	2.694433	24.95238095	1.235955056	ZNF292
ENSG00000101654	0.661977285	8.453693192	4.350529354	0.495186202	61.821198	25	1.359550562	RNMT
ENSG00000099282	0.466786246	6.809631235	7.544408148	0.498827751	48.362404	25	1.966292135	TSPAN15
ENSG00000125848	0.269106078	4.147338487	11.23885366	0.490507546	0.9762238	19.19047619	2.06741573	FLRT3
ENSG00000076928	0.451237905	6.628701812	8.195365411	0.497335713	298.4954	24.98412698	2.337078652	ARHGEF1
ENSG00000160310	0.53246088	7.506024337	6.679704355	0.511443251	90.57653	24.98412698	1.943820225	PRMT2
ENSG00000175756	0.657644255	8.365591414	4.230015036	0.48908951	64.21239	25	1.168539326	AURKAIP1
ENSG00000129757	0.408668104	5.883677669	8.661987519	0.505928469	26.884909	24.98412698	2.348314607	CDKN1C
ENSG00000158428	0.161396632	2.935083696	15.01072804	0.497386668	2.5633962	18.44444444	2.752808989	CATIP
ENSG00000152904	0.316040226	4.810185082	10.45102867	0.5029314	9.355605	24.98412698	2.640449438	GGPS1
ENSG00000060339	0.850132025	9.406423573	1.7040914	0.497111799	97.49234	25	0.101123596	CCAR1
ENSG00000106066	0.390669936	5.688941153	9.002122667	0.501120988	59.554577	25	2.528089888	CPVL
ENSG00000077463	0.780972726	8.706106056	2.457705595	0.505362821	35.176205	24.98412698	0.404494382	SIRT6
ENSG00000105173	0.309303962	4.662088661	10.62359639	0.493617722	4.1119723	24.92063492	2.269662921	CCNE1
ENSG00000116668	0.630924256	7.610847557	4.592199919	0.496353877	7.802182	24.98412698	1.280898876	SWT1
ENSG00000165929	0.503924929	6.987693917	6.789073985	0.508383333	26.701174	24.82539683	1.887640449	TC2N
ENSG00000132965	0.349292011	5.229632492	9.728969745	0.49138613	28.206636	24.98412698	2.674157303	ALOX5AP
ENSG00000166454	0.46458402	6.450127247	7.301773087	0.502900479	6.1604776	24.98412698	1.91011236	ATMIN
ENSG00000027869	0.297444879	4.422918558	10.86055634	0.507839279	4.0858407	24.68253968	2.764044944	SH2D2A
ENSG00000273706	0.048936022	1.164249475	23.08116696	0.500680168	0.7408841	5.492063492	2.876404494	LHX1
ENSG00000146678	0.094196109	1.925795912	18.75371586	0.497465924	17.559618	12.98412698	2.943820225	IGFBP1
ENSG00000162650	0.656011625	7.806147878	4.071191898	0.506109472	11.78655	25	0.921348315	ATXN7L2
ENSG00000188316	0.245574426	3.890255758	12.05160697	0.509228113	2.286576	22.26984127	2.741573034	ENO4
ENSG00000130287	0.096032067	2.083072494	19.14037267	0.499236456	5.2108955	13.12698413	2.91011236	NCAN
ENSG00000179889	0.494790185	7.195919167	7.239138964	0.498973361	171.44196	25	2.235955056	PDXDC1
ENSG00000162494	0.0713172	1.593882249	20.7166571	0.494199557	0.30775854	9.476190476	2.943820225	LRRC38
ENSG00000127399	0.699688941	7.333891417	3.166071542	0.509004181	3.7246678	24.9047619	0.303370787	LRRC61
ENSG00000104415	0.529608789	6.155835755	5.477036969	0.50021154	1.201606	20.52380952	0.93258427	WISP1
ENSG00000176597	0.298095804	4.467368349	10.63327287	0.507461585	0.89440364	21.71428571	2.168539326	B3GNT5
ENSG00000106367	0.468828111	6.630476602	7.61460842	0.49389617	33.72831	25	2.078651685	AP1S1
